,rolling_1yr_return,rolling_1yr_volatility,rolling_30d_volatility,latest_close_price,avg_30d_volume
SRE,0.2539805021865964,0.16441519963924658,0.17774269567155754,99.19999694824219,3605500.0
CRWD,-0.1470337158835211,0.3556094649028661,0.3849442204589064,399.1199951171875,4794710.0
PM,0.009686566931466523,0.2073753057563921,0.291926403700844,158.10000610351562,5199280.0
CCEP,-0.06091741677856233,0.1879875451129434,0.20955185435432014,92.4800033569336,1975180.0
AIZ,0.18539052644716336,0.21541849706510283,0.1835079363827646,218.25999450683594,365606.6666666667
VRTX,-0.06587885200361732,0.3179500566244308,0.34710960139333735,438.7099914550781,1425213.3333333333
NI,0.1487711345624818,0.15020928439014275,0.16863252414600932,47.4900016784668,3596240.0
CLX,-0.20202703072816253,0.20271554041264045,0.26134085529646556,101.13999938964844,2170566.6666666665
PH,0.2369537142603917,0.2053022462961985,0.29537439126673826,908.0599975585938,820310.0
ALLE,-0.14387840481565084,0.18678703406556518,0.15599371812164012,141.05999755859375,871756.6666666666
